Dataset,BOSS_Acc,,
50words,0.688,,
Adiac,0.780,,
Beef,0.800,,
CBF,1.000,,
ChlorineConcentration,0.660,,
CinC_ECG_torso,0.875,,
Coffee,1.000,,
DiatomSizeReduction,0.954,,
ECG200,0.870,,
ECGFiveDays,1.000,,
FaceAll,0.790,,
FaceFour,1.000,,
FacesUCR,0.958,,
Fish,0.989,,
Gun_Point,1.000,,
Haptics,0.463,,
InlineSkate,0.495,,
ItalyPowerDemand,0.947,,
Lighting2,0.852,,
Lighting7,0.658,,
MALLAT,0.942,,
MedicalImages,0.712,,
Motes,0.927,,
OliveOil,0.900,,
OSULeaf,0.988,,
SonyAIBORobotSurface,0.679,,
SonyAIBORobotSurfaceII,0.902,,
StarLightCurves,0.979,,
SwedishLeaf,0.928,,
Symbols,0.968,,
synthetic_control,0.970,,
Trace,1.000,,
Two_Patterns,0.996,,
TwoLeadECG,0.984,,
wafer,0.999,,
WordsSynonyms,0.638,,
yoga,0.919,,