Name,#classes,#train,#test,#length,,,,,,
50words,50,450,455,270,,,,,,
Adiac,37,390,391,176,,,,,,
Beef,5,30,30,470,,,,,,
CBF,3,30,900,128,,,,,,
ChlorineConcentration,3,467,3840,166,,,,,,
CinC_ECG_torso,4,40,1380,1639,,,,,,
Coffee,2,28,28,286,,,,,,
Cricket_X,12,390,390,300,,,,,,
Cricket_Y,12,390,390,300,,,,,,
Cricket_Z,12,390,390,300,,,,,,
DiatomSizeReduction,4,16,306,345,,,,,,
ECG200,2,100,100,96,,,,,,
ECGFiveDays,2,23,861,136,,,,,,
FaceAll,14,560,1690,131,,,,,,
FaceFour,4,24,88,350,,,,,,
FacesUCR,14,200,2050,131,,,,,,
Fish,7,175,175,463,,,,,,
Gun_Point,2,50,150,150,,,,,,
Haptics,5,155,308,1092,,,,,,
InlineSkate,7,100,550,1882,,,,,,
ItalyPowerDemand,2,67,1029,24,,,,,,
Lightning2,2,60,61,637,,,,,,
Lightning7,7,70,73,319,,,,,,
MALLAT,8,55,2345,1024,,,,,,
MedicalImages,10,381,760,99,,,,,,
MoteStrain,2,20,1252,84,,,,,,
OliveOil,4,30,30,570,,,,,,
OSULeaf,6,200,242,427,,,,,,
SonyAIBORobotSurface,2,20,601,70,,,,,,
SonyAIBORobotSurfaceII,2,27,953,65,,,,,,
StarLightCurves,3,1000,8236,1024,,,,,,
SwedishLeaf,15,500,625,128,,,,,,
Symbols,6,25,995,398,,,,,,
synthetic_control,6,300,300,60,,,,,,
Trace,4,100,100,275,,,,,,
Two_Patterns,4,1000,4000,128,,,,,,
TwoLeadECG,2,23,1139,82,,,,,,
uWaveGestureLibrary_X,8,896,3582,315,,,,,,
uWaveGestureLibrary_Y,8,896,3582,315,,,,,,
uWaveGestureLibrary_Z,8,896,3582,315,,,,,,
wafer,2,1000,6174,152,,,,,,
WordsSynonyms,25,267,638,270,,,,,,
yoga,2,300,3000,426,,,,,,