Dataset,ShapeletTransformEnsemble_Acc,,
50words,0.719,,
Adiac,0.565,,
ArrowHead,0.771,,
Beef,0.833,,
BeetleFly,0.750,,
BirdChicken,0.750,,
Car,0.733,,
CBF,0.997,,
ChlorineConcentration,0.700,,
CinC_ECG_torso,0.846,,
Coffee,1.000,,
Computers,0.700,,
Cricket_X,0.782,,
Cricket_Y,0.764,,
Cricket_Z,0.772,,
DiatomSizeReduction,0.876,,
DistalPhalanxOutlineAgeGroup,0.741,,
DistalPhalanxOutlineCorrect,0.736,,
DistalPhalanxTW,0.633,,
Earthquakes,0.734,,
ECGFiveDays,0.999,,
FaceAll,0.737,,
FaceFour,0.943,,
FacesUCR,0.913,,
Fish,0.977,,
FordA,0.927,,
FordB,0.789,,
GunPoint,0.980,,
Haptics,0.477,,
Herrings,0.672,,
InlineSkate,0.385,,
ItalyPowerDemand,0.952,,
LargeKitchenAppliances,0.883,,
Lightning2,0.656,,
Lightning7,0.740,,
MALLAT,0.940,,
MedicalImages,0.604,,
MiddlePhalanxOutlineAgeGroup,0.630,,
MiddlePhalanxOutlineCorrect,0.725,,
MiddlePhalanxTW,0.539,,
MoteStrain,0.891,,
NonInvasiveFatalECG_Thorax1,0.900,,
NonInvasiveFatalECG_Thorax2,0.903,,
OliveOil,0.900,,
OSULeaf,0.715,,
PhalangesOutlinesCorrect,0.748,,
Plane,1.000,,
ProximalPhalanxOutlineAgeGroup,0.854,,
ProximalPhalanxOutlineCorrect,0.900,,
ProximalPhalanxTW,0.771,,
PtNDeviceGroups,0.798,,
PtNDevices,0.524,,
RefrigerationDevices,0.557,,
ScreenType,0.533,,
SimulatedSet,0.919,,
SmallKitchenAppliances,0.773,,
SonyAIBORobotSurface,0.933,,
SonyAIBORobotSurfaceII,0.885,,
StarLightCurves,0.976,,
SwedishLeaf,0.907,,
Symbols,0.886,,
synthetic_control,0.983,,
ToeSegmentation1,0.956,,
ToeSegmentation2,0.854,,
Trace,0.980,,
TwoLeadECG,0.996,,
Two_Patterns,0.941,,
UWaveGestureLibrary_X,0.784,,
UWaveGestureLibrary_Y,0.697,,
UWaveGestureLibrary_Z,0.727,,
wafer,0.998,,
WordSynonyms,0.597,,
Worms,0.701,,
WormsTwoClass,0.766,,
yoga,0.805,,