Dataset,Ensemble-C4.5_Acc,Ensemble-1NN_Acc,Ensemble-NaiveBayes_Acc,Ensemble-BayesianNetwork_Acc,Ensemble-RandomForest_Acc,Ensemble-RotationForest_Acc,Ensemble-SVM(L)_Acc,Ensemble-1NN-DTW_Acc
Adiac,25.58,25.83,30.18,26.34,28.39,30.43,23.53,49.10
Beef,56.67,86.67,63.33,86.67,66.67,80.00,90.00,43.33
BeetleFly CV,92.50,100.00,100.00,100.00,100.00,100.00,100.00,65.00
BirdChicken CV,95.00,100.00,92.50,100.00,97.50,100.00,100.00,72.50
ChlorineConcentration,49.71,56.69,45.52,57.01,57.34,64.35,56.20,63.36
Coffee,89.29,100.00,100.00,100.00,100.00,100.00,100.00,46.43
DiatomSizeReduction,56.54,92.81,78.10,86.27,72.88,73.20,91.50,92.48
ECGFiveDays,88.39,96.40,94.66,97.79,89.90,99.88,99.77,82.81
FaceFour,65.91,92.05,89.77,100.00,71.59,87.50,97.73,82.95
GunPoint,94.67,99.33,94.00,100.00,95.33,96.00,100.00,91.33
Herrings,65.63,75.00,68.75,64.06,62.50,71.88,64.06,59.38
ItalyPowerDemand,88.92,92.23,92.71,92.81,92.13,92.13,92.61,96.11
DP_Little,58.91,56.90,57.05,60.62,63.41,66.20,67.44,49.30
DP_Middle,58.29,59.07,57.98,56.28,60.93,66.51,69.46,54.57
DP_Thumb,57.98,57.21,62.48,60.93,63.72,67.60,69.61,53.02
MP_Little,63.72,66.67,65.12,65.43,64.65,67.91,70.70,55.81
MP_Middle,62.33,67.29,67.60,66.82,69.77,71.16,76.59,46.98
PP_Little,59.38,65.58,65.43,64.96,66.36,69.92,72.09,49.46
PP_Middle,60.47,63.10,67.29,66.67,68.84,66.98,71.32,49.92
PP_Thumb,54.26,53.64,62.48,62.79,62.33,61.55,68.99,52.56
Lightning7,45.21,64.38,68.49,68.49,63.01,67.12,72.60,72.60
MedicalImages,44.87,45.66,17.89,28.29,53.03,53.95,51.97,68.95
MoteStrain,77.08,88.90,88.82,88.74,85.86,86.82,87.30,81.55
SimulatedSet,82.50,92.70,93.60,91.90,89.70,92.90,93.10,70.03
SonyAIBORobotSurface,83.19,93.34,92.51,96.01,96.01,92.68,94.84,69.88
Symbols,55.88,87.24,88.74,90.85,78.79,87.14,88.64,93.37
synthetic_control,84.67,96.67,86.67,85.33,93.00,95.67,91.67,97.37
Trace,96.00,100.00,100.00,100.00,100.00,100.00,100.00,99.00
TwoLeadECG,76.47,99.39,99.03,98.95,90.61,96.84,99.21,79.46