Dataset,ShotgunAcc,,,
50words,0.6990,,,
Adiac,0.6270,,,
Beef,0.8000,,,
CBF,0.9690,,,
ChlorineConcentration,0.6960,,,
CinC_ECG_torso,0.9490,,,
Coffee,1.0000,,,
Cricket_X,0.7000,,,
Cricket_Y,0.6620,,,
Cricket_Z,0.7280,,,
DiatomSizeReduction,0.9350,,,
ECG200,0.8800,,,
ECGFiveDays,0.9430,,,
FaceAll,0.7540,,,
FaceFour,0.9090,,,
FacesUCR,0.9080,,,
Fish,0.9310,,,
Gun_Point,0.9470,,,
Haptics,0.4030,,,
InlineSkate,0.2950,,,
ItalyPowerDemand,0.9580,,,
Lighting2,0.8520,,,
Lighting7,0.7120,,,
MALLAT,0.9140,,,
MedicalImages,0.6840,,,
Motes,0.7880,,,
OliveOil,0.9000,,,
OSULeaf,0.6740,,,
SonyAIBORobotSurface,0.7290,,,
SonyAIBORobotSurfaceII,0.8760,,,
StarLightCurves,0.9160,,,
SwedishLeaf,0.8420,,,
Symbols,0.9150,,,
synthetic_control,0.9370,,,
Trace,0.9800,,,
Two_Patterns,0.9560,,,
TwoLeadECG,0.9230,,,
uWaveGestureLibrary_X,0.7490,,,
uWaveGestureLibrary_Y,0.6620,,,
uWaveGestureLibrary_Z,0.6520,,,
wafer,0.9990,,,
WordsSynonyms,0.6330,,,
yoga,0.8170,,,