,Dataset,9kFeatures,BOSS,ED,DTW,TSBF,LS,LogicalShapelet,FastShapelet,SAX-VSM,ShapeletTransformEnsemble,Ensemble-C4.5,Ensemble-1NN,Ensemble-NaiveBayes,Ensemble-BayesianNetwork,Ensemble-RandomForest,Ensemble-RotationForest,Ensemble-SVM(L),Ensemble-1NN-DTW,Shotgun,SVC,LDA,LinearSVC
0,50words,0.547,0.688,0.631,0.758,0.791,0.7681,,,,0.7190000000000001,,,,,,,,,0.699,,,
1,Adiac,0.645,0.78,0.611,0.609,0.755,0.5631999999999999,0.586,0.486,0.619,0.565,0.2558,0.2583,0.30180000000000007,0.2634000000000001,0.28390000000000004,0.3043,0.23530000000000006,0.491,0.627,,,
2,Beef,0.567,0.8,0.5329999999999999,0.5329999999999999,0.7130000000000001,0.76,0.5670000000000001,0.5529999999999999,0.967,0.833,0.5667,0.8667,0.6333,0.8667,0.6667000000000001,0.8,0.9,0.4333,0.8,,,
3,CBF,0.7110000000000001,1.0,0.852,0.996,0.991,0.9944,0.8859999999999999,0.9470000000000001,0.98,0.997,,,,,,,,,0.969,0.8944444444444445,0.84,0.7333333333333333
4,Coffee,1.0,1.0,0.75,0.821,0.996,1.0,0.9640000000000001,0.932,1.0,1.0,0.8929,1.0,1.0,1.0,1.0,1.0,1.0,0.46429999999999993,1.0,0.8928571428571429,1.0,1.0
5,ECG200,0.99,0.87,0.88,0.88,0.855,0.874,0.87,0.773,0.86,,,,,,,,,,0.88,0.89,0.61,0.84
6,FaceAll,0.708,0.79,0.714,0.808,0.766,0.7825,0.659,0.589,0.793,0.737,,,,,,,,,0.754,,,
7,FaceFour,0.739,1.0,0.784,0.886,0.949,0.9522,0.489,0.91,1.0,0.943,0.6591,0.9205,0.8976999999999999,1.0,0.7159,0.875,0.9773000000000001,0.8295,0.909,0.38636363636363635,0.8522727272727273,0.8636363636363636
8,Fish,0.829,0.9890000000000001,0.783,0.84,0.92,0.9337,0.777,0.8029999999999999,0.983,0.977,,,,,,,,,0.931,,,
9,Lightning2,0.803,0.852,0.754,0.869,0.743,0.823,0.42599999999999993,0.705,0.804,0.6559999999999999,,,,,,,,,0.852,,,
10,Lightning7,0.562,0.6579999999999999,0.575,0.712,0.738,0.8027,0.5479999999999999,0.597,0.6990000000000001,0.74,0.45209999999999995,0.6437999999999999,0.6849,0.6849,0.6301,0.6712,0.726,0.726,0.712,,,
11,OSULeaf,0.835,0.988,0.517,0.616,0.671,0.8182,0.6859999999999999,0.6409999999999999,0.893,0.715,,,,,,,,,0.674,,,
12,OliveOil,0.9,0.9,0.867,0.833,0.91,0.43999999999999995,0.833,0.787,0.9,0.9,,,,,,,,,0.9,,,
13,SwedishLeaf,0.773,0.9279999999999999,0.787,0.843,0.925,0.913,0.813,0.731,0.749,0.907,,,,,,,,,0.842,,,
14,Trace,0.99,1.0,0.76,0.99,0.98,1.0,1.0,0.998,1.0,0.98,0.96,1.0,1.0,1.0,1.0,1.0,1.0,0.99,0.98,,,
15,Two_Patterns,0.9259999999999999,0.996,0.91,0.998,0.999,0.997,0.539,0.887,0.996,0.941,,,,,,,,,0.956,,,
16,synthetic_control,0.963,0.97,0.88,0.983,0.992,0.9927,0.47,0.919,0.99,0.983,0.8467,0.9667,0.8667,0.8533,0.93,0.9567,0.9167000000000001,0.9737,0.937,,,
17,wafer,1.0,0.9990000000000001,0.995,0.995,0.996,0.9962,0.9990000000000001,0.996,0.9994,0.998,,,,,,,,,0.999,,,
18,yoga,0.774,0.919,0.83,0.845,0.851,0.8499,0.74,0.7509999999999999,0.8360000000000001,0.805,,,,,,,,,0.817,,,
19,ChlorineConcentration,,0.66,0.65,0.65,0.6639999999999999,0.6514,0.619,0.583,,0.7,0.4971,0.5669,0.45520000000000005,0.5700999999999999,0.5734,0.6435,0.562,0.6335999999999999,0.696,,,
20,CinC_ECG_torso,,0.875,0.897,0.9299999999999999,0.738,0.833,0.6990000000000001,0.826,,0.846,,,,,,,,,0.949,,,
21,DiatomSizeReduction,,0.9540000000000001,0.935,0.935,0.874,0.9667,0.8009999999999999,0.883,,0.8759999999999999,0.5654,0.9281,0.7809999999999999,0.8626999999999999,0.7288,0.732,0.915,0.9248000000000001,0.935,0.8725490196078431,0.9575163398692811,0.8660130718954249
22,ECGFiveDays,,1.0,0.7969999999999999,0.7969999999999999,0.817,1.0,0.9940000000000001,0.996,,0.9990000000000001,0.8839,0.9640000000000001,0.9466,0.9779000000000001,0.899,0.9987999999999999,0.9976999999999999,0.8281000000000001,0.943,0.9802555168408827,0.9442508710801394,0.943089430894309
23,FacesUCR,,0.958,0.769,0.912,0.91,0.9413,0.662,0.672,,0.9129999999999999,,,,,,,,,0.908,,,
24,Gun_Point,,1.0,0.913,0.913,0.989,1.0,0.893,0.9390000000000001,0.993,,,,,,,,,,0.947,0.9533333333333334,0.8066666666666666,0.84
25,Haptics,,0.46299999999999997,0.37,0.41200000000000003,0.512,0.46819999999999995,,,,0.4770000000000001,,,,,,,,,0.403,,,
26,InlineSkate,,0.495,0.3420000000000001,0.387,0.397,0.4273,,,,0.385,,,,,,,,,0.29499999999999993,,,
27,ItalyPowerDemand,,0.9470000000000001,0.955,0.955,0.904,0.9695,0.9359999999999999,0.905,,0.9520000000000001,0.8892,0.9223,0.9270999999999999,0.9281,0.9213,0.9213,0.9261,0.9611,0.958,0.956268221574344,0.9358600583090378,0.967930029154519
28,MALLAT,,0.9420000000000001,0.914,0.914,0.963,0.9543,0.6559999999999999,0.9670000000000001,,0.94,,,,,,,,,0.914,,,
29,MedicalImages,,0.7120000000000001,0.6839999999999999,0.747,0.7310000000000001,0.7295,0.5870000000000001,0.5670000000000001,,0.604,0.4487,0.4565999999999999,0.17890000000000006,0.28289999999999993,0.5303,0.5395,0.5196999999999999,0.6895,0.684,,,
30,SonyAIBORobotSurface,,0.679,0.6950000000000001,0.6950000000000001,0.825,0.8974,0.86,0.6859999999999999,,0.9329999999999999,0.8319,0.9334,0.9251,0.9601000000000001,0.9601000000000001,0.9268000000000001,0.9484,0.6988,0.729,0.762063227953411,0.7038269550748752,0.7371048252911814
31,SonyAIBORobotSurfaceII,,0.902,0.859,0.859,0.804,0.9184,0.846,0.785,,0.885,,,,,,,,,0.876,0.8153200419727177,0.8079748163693599,0.7995802728226653
32,StarLightCurves,,0.9790000000000001,,,,,,,,0.976,,,,,,,,,0.916,,,
33,Symbols,,0.968,0.9,0.938,0.966,0.9644,0.643,0.932,,0.8859999999999999,0.5588000000000001,0.8724,0.8874,0.9085,0.7879,0.8714,0.8864,0.9337000000000001,0.915,0.878391959798995,0.8170854271356784,0.7748743718592965
34,TwoLeadECG,,0.9840000000000001,0.747,0.868,0.954,0.9974,0.856,0.91,,0.996,0.7646999999999999,0.9939,0.9903,0.9895,0.9061,0.9684,0.9921,0.7946,0.923,0.9086918349429324,0.8893766461808604,0.9280070237050044
35,WordsSynonyms,,0.638,0.618,0.748,0.698,0.6602,,,,,,,,,,,,,0.633,,,
36,Cricket_X,,,0.5740000000000001,0.764,0.722,0.7908,,,,0.782,,,,,,,,,0.7,,,
37,Cricket_Y,,,0.6439999999999999,0.803,0.741,0.7513,,,,0.764,,,,,,,,,0.662,,,
38,Cricket_Z,,,0.62,0.8200000000000001,0.737,0.7995,,,,0.772,,,,,,,,,0.728,,,
39,MoteStrain,,,0.879,0.866,0.865,0.9129,0.8320000000000001,0.7829999999999999,,0.8909999999999999,0.7707999999999999,0.889,0.8881999999999999,0.8874,0.8586,0.8682,0.873,0.8155,,0.8634185303514377,0.7244408945686901,0.8610223642172524
40,uWaveGestureLibrary_X,,,0.739,0.773,0.8360000000000001,0.7998000000000001,,,,,,,,,,,,,0.749,,,
41,uWaveGestureLibrary_Y,,,0.662,0.6990000000000001,0.751,0.7129,,,,,,,,,,,,,0.662,,,
42,uWaveGestureLibrary_Z,,,0.65,0.6779999999999999,0.783,0.7315,,,,,,,,,,,,,0.652,,,
