,C,Classifier,Dataset,accuracy
464,,Ensemble-C4.5,TwoLeadECG,0.7646999999999999
465,,Ensemble-C4.5,Two_Patterns,
466,,Ensemble-C4.5,WordsSynonyms,
467,,Ensemble-C4.5,synthetic_control,0.8467
468,,Ensemble-C4.5,uWaveGestureLibrary_X,
469,,Ensemble-C4.5,uWaveGestureLibrary_Y,
470,,Ensemble-C4.5,uWaveGestureLibrary_Z,
471,,Ensemble-C4.5,wafer,
472,,Ensemble-C4.5,yoga,
473,,Ensemble-1NN,50words,
474,,Ensemble-1NN,Adiac,0.2583
475,,Ensemble-1NN,Beef,0.8667
476,,Ensemble-1NN,CBF,
477,,Ensemble-1NN,ChlorineConcentration,0.5669
478,,Ensemble-1NN,CinC_ECG_torso,
479,,Ensemble-1NN,Coffee,1.0
480,,Ensemble-1NN,Cricket_X,
481,,Ensemble-1NN,Cricket_Y,
482,,Ensemble-1NN,Cricket_Z,
483,,Ensemble-1NN,DiatomSizeReduction,0.9281
484,,Ensemble-1NN,ECG200,
485,,Ensemble-1NN,ECGFiveDays,0.9640000000000001
486,,Ensemble-1NN,FaceAll,
487,,Ensemble-1NN,FaceFour,0.9205
488,,Ensemble-1NN,FacesUCR,
489,,Ensemble-1NN,Fish,
490,,Ensemble-1NN,Gun_Point,
491,,Ensemble-1NN,Haptics,
492,,Ensemble-1NN,InlineSkate,
493,,Ensemble-1NN,ItalyPowerDemand,0.9223
494,,Ensemble-1NN,Lightning2,
495,,Ensemble-1NN,Lightning7,0.6437999999999999
496,,Ensemble-1NN,MALLAT,
497,,Ensemble-1NN,MedicalImages,0.4565999999999999
498,,Ensemble-1NN,MoteStrain,0.889
499,,Ensemble-1NN,OSULeaf,
500,,Ensemble-1NN,OliveOil,
501,,Ensemble-1NN,SonyAIBORobotSurface,0.9334
502,,Ensemble-1NN,SonyAIBORobotSurfaceII,
503,,Ensemble-1NN,StarLightCurves,
504,,Ensemble-1NN,SwedishLeaf,
505,,Ensemble-1NN,Symbols,0.8724
506,,Ensemble-1NN,Trace,1.0
507,,Ensemble-1NN,TwoLeadECG,0.9939
508,,Ensemble-1NN,Two_Patterns,
509,,Ensemble-1NN,WordsSynonyms,
510,,Ensemble-1NN,synthetic_control,0.9667
511,,Ensemble-1NN,uWaveGestureLibrary_X,
512,,Ensemble-1NN,uWaveGestureLibrary_Y,
513,,Ensemble-1NN,uWaveGestureLibrary_Z,
514,,Ensemble-1NN,wafer,
515,,Ensemble-1NN,yoga,
516,,Ensemble-NaiveBayes,50words,
517,,Ensemble-NaiveBayes,Adiac,0.30180000000000007
518,,Ensemble-NaiveBayes,Beef,0.6333
519,,Ensemble-NaiveBayes,CBF,
520,,Ensemble-NaiveBayes,ChlorineConcentration,0.45520000000000005
521,,Ensemble-NaiveBayes,CinC_ECG_torso,
522,,Ensemble-NaiveBayes,Coffee,1.0
523,,Ensemble-NaiveBayes,Cricket_X,
524,,Ensemble-NaiveBayes,Cricket_Y,
525,,Ensemble-NaiveBayes,Cricket_Z,
526,,Ensemble-NaiveBayes,DiatomSizeReduction,0.7809999999999999
527,,Ensemble-NaiveBayes,ECG200,
528,,Ensemble-NaiveBayes,ECGFiveDays,0.9466
529,,Ensemble-NaiveBayes,FaceAll,
530,,Ensemble-NaiveBayes,FaceFour,0.8976999999999999
531,,Ensemble-NaiveBayes,FacesUCR,
532,,Ensemble-NaiveBayes,Fish,
533,,Ensemble-NaiveBayes,Gun_Point,
534,,Ensemble-NaiveBayes,Haptics,
535,,Ensemble-NaiveBayes,InlineSkate,
536,,Ensemble-NaiveBayes,ItalyPowerDemand,0.9270999999999999
537,,Ensemble-NaiveBayes,Lightning2,
538,,Ensemble-NaiveBayes,Lightning7,0.6849
539,,Ensemble-NaiveBayes,MALLAT,
540,,Ensemble-NaiveBayes,MedicalImages,0.17890000000000006
541,,Ensemble-NaiveBayes,MoteStrain,0.8881999999999999
542,,Ensemble-NaiveBayes,OSULeaf,
543,,Ensemble-NaiveBayes,OliveOil,
544,,Ensemble-NaiveBayes,SonyAIBORobotSurface,0.9251
545,,Ensemble-NaiveBayes,SonyAIBORobotSurfaceII,
546,,Ensemble-NaiveBayes,StarLightCurves,
547,,Ensemble-NaiveBayes,SwedishLeaf,
548,,Ensemble-NaiveBayes,Symbols,0.8874
549,,Ensemble-NaiveBayes,Trace,1.0
550,,Ensemble-NaiveBayes,TwoLeadECG,0.9903
551,,Ensemble-NaiveBayes,Two_Patterns,
552,,Ensemble-NaiveBayes,WordsSynonyms,
553,,Ensemble-NaiveBayes,synthetic_control,0.8667
554,,Ensemble-NaiveBayes,uWaveGestureLibrary_X,
555,,Ensemble-NaiveBayes,uWaveGestureLibrary_Y,
556,,Ensemble-NaiveBayes,uWaveGestureLibrary_Z,
557,,Ensemble-NaiveBayes,wafer,
558,,Ensemble-NaiveBayes,yoga,
559,,Ensemble-BayesianNetwork,50words,
560,,Ensemble-BayesianNetwork,Adiac,0.2634000000000001
561,,Ensemble-BayesianNetwork,Beef,0.8667
562,,Ensemble-BayesianNetwork,CBF,
563,,Ensemble-BayesianNetwork,ChlorineConcentration,0.5700999999999999
564,,Ensemble-BayesianNetwork,CinC_ECG_torso,
565,,Ensemble-BayesianNetwork,Coffee,1.0
566,,Ensemble-BayesianNetwork,Cricket_X,
567,,Ensemble-BayesianNetwork,Cricket_Y,
568,,Ensemble-BayesianNetwork,Cricket_Z,
569,,Ensemble-BayesianNetwork,DiatomSizeReduction,0.8626999999999999
570,,Ensemble-BayesianNetwork,ECG200,
571,,Ensemble-BayesianNetwork,ECGFiveDays,0.9779000000000001
572,,Ensemble-BayesianNetwork,FaceAll,
573,,Ensemble-BayesianNetwork,FaceFour,1.0
574,,Ensemble-BayesianNetwork,FacesUCR,
575,,Ensemble-BayesianNetwork,Fish,
576,,Ensemble-BayesianNetwork,Gun_Point,
577,,Ensemble-BayesianNetwork,Haptics,
578,,Ensemble-BayesianNetwork,InlineSkate,
579,,Ensemble-BayesianNetwork,ItalyPowerDemand,0.9281
580,,Ensemble-BayesianNetwork,Lightning2,
581,,Ensemble-BayesianNetwork,Lightning7,0.6849
582,,Ensemble-BayesianNetwork,MALLAT,
583,,Ensemble-BayesianNetwork,MedicalImages,0.28289999999999993
584,,Ensemble-BayesianNetwork,MoteStrain,0.8874
585,,Ensemble-BayesianNetwork,OSULeaf,
586,,Ensemble-BayesianNetwork,OliveOil,
587,,Ensemble-BayesianNetwork,SonyAIBORobotSurface,0.9601000000000001
588,,Ensemble-BayesianNetwork,SonyAIBORobotSurfaceII,
589,,Ensemble-BayesianNetwork,StarLightCurves,
590,,Ensemble-BayesianNetwork,SwedishLeaf,
591,,Ensemble-BayesianNetwork,Symbols,0.9085
592,,Ensemble-BayesianNetwork,Trace,1.0
593,,Ensemble-BayesianNetwork,TwoLeadECG,0.9895
594,,Ensemble-BayesianNetwork,Two_Patterns,
595,,Ensemble-BayesianNetwork,WordsSynonyms,
596,,Ensemble-BayesianNetwork,synthetic_control,0.8533
597,,Ensemble-BayesianNetwork,uWaveGestureLibrary_X,
598,,Ensemble-BayesianNetwork,uWaveGestureLibrary_Y,
599,,Ensemble-BayesianNetwork,uWaveGestureLibrary_Z,
600,,Ensemble-BayesianNetwork,wafer,
601,,Ensemble-BayesianNetwork,yoga,
602,,Ensemble-RandomForest,50words,
603,,Ensemble-RandomForest,Adiac,0.28390000000000004
604,,Ensemble-RandomForest,Beef,0.6667000000000001
605,,Ensemble-RandomForest,CBF,
606,,Ensemble-RandomForest,ChlorineConcentration,0.5734
607,,Ensemble-RandomForest,CinC_ECG_torso,
608,,Ensemble-RandomForest,Coffee,1.0
609,,Ensemble-RandomForest,Cricket_X,
610,,Ensemble-RandomForest,Cricket_Y,
611,,Ensemble-RandomForest,Cricket_Z,
612,,Ensemble-RandomForest,DiatomSizeReduction,0.7288
613,,Ensemble-RandomForest,ECG200,
614,,Ensemble-RandomForest,ECGFiveDays,0.899
615,,Ensemble-RandomForest,FaceAll,
616,,Ensemble-RandomForest,FaceFour,0.7159
617,,Ensemble-RandomForest,FacesUCR,
618,,Ensemble-RandomForest,Fish,
619,,Ensemble-RandomForest,Gun_Point,
620,,Ensemble-RandomForest,Haptics,
621,,Ensemble-RandomForest,InlineSkate,
622,,Ensemble-RandomForest,ItalyPowerDemand,0.9213
623,,Ensemble-RandomForest,Lightning2,
624,,Ensemble-RandomForest,Lightning7,0.6301
625,,Ensemble-RandomForest,MALLAT,
626,,Ensemble-RandomForest,MedicalImages,0.5303
627,,Ensemble-RandomForest,MoteStrain,0.8586
628,,Ensemble-RandomForest,OSULeaf,
629,,Ensemble-RandomForest,OliveOil,
630,,Ensemble-RandomForest,SonyAIBORobotSurface,0.9601000000000001
631,,Ensemble-RandomForest,SonyAIBORobotSurfaceII,
632,,Ensemble-RandomForest,StarLightCurves,
633,,Ensemble-RandomForest,SwedishLeaf,
634,,Ensemble-RandomForest,Symbols,0.7879
635,,Ensemble-RandomForest,Trace,1.0
636,,Ensemble-RandomForest,TwoLeadECG,0.9061
637,,Ensemble-RandomForest,Two_Patterns,
638,,Ensemble-RandomForest,WordsSynonyms,
639,,Ensemble-RandomForest,synthetic_control,0.93
640,,Ensemble-RandomForest,uWaveGestureLibrary_X,
641,,Ensemble-RandomForest,uWaveGestureLibrary_Y,
642,,Ensemble-RandomForest,uWaveGestureLibrary_Z,
643,,Ensemble-RandomForest,wafer,
644,,Ensemble-RandomForest,yoga,
645,,Ensemble-RotationForest,50words,
646,,Ensemble-RotationForest,Adiac,0.3043
647,,Ensemble-RotationForest,Beef,0.8
648,,Ensemble-RotationForest,CBF,
649,,Ensemble-RotationForest,ChlorineConcentration,0.6435
650,,Ensemble-RotationForest,CinC_ECG_torso,
651,,Ensemble-RotationForest,Coffee,1.0
652,,Ensemble-RotationForest,Cricket_X,
653,,Ensemble-RotationForest,Cricket_Y,
654,,Ensemble-RotationForest,Cricket_Z,
655,,Ensemble-RotationForest,DiatomSizeReduction,0.732
656,,Ensemble-RotationForest,ECG200,
657,,Ensemble-RotationForest,ECGFiveDays,0.9987999999999999
658,,Ensemble-RotationForest,FaceAll,
659,,Ensemble-RotationForest,FaceFour,0.875
660,,Ensemble-RotationForest,FacesUCR,
661,,Ensemble-RotationForest,Fish,
662,,Ensemble-RotationForest,Gun_Point,
663,,Ensemble-RotationForest,Haptics,
664,,Ensemble-RotationForest,InlineSkate,
665,,Ensemble-RotationForest,ItalyPowerDemand,0.9213
666,,Ensemble-RotationForest,Lightning2,
667,,Ensemble-RotationForest,Lightning7,0.6712
668,,Ensemble-RotationForest,MALLAT,
669,,Ensemble-RotationForest,MedicalImages,0.5395
670,,Ensemble-RotationForest,MoteStrain,0.8682
671,,Ensemble-RotationForest,OSULeaf,
672,,Ensemble-RotationForest,OliveOil,
673,,Ensemble-RotationForest,SonyAIBORobotSurface,0.9268000000000001
674,,Ensemble-RotationForest,SonyAIBORobotSurfaceII,
675,,Ensemble-RotationForest,StarLightCurves,
676,,Ensemble-RotationForest,SwedishLeaf,
677,,Ensemble-RotationForest,Symbols,0.8714
678,,Ensemble-RotationForest,Trace,1.0
679,,Ensemble-RotationForest,TwoLeadECG,0.9684
680,,Ensemble-RotationForest,Two_Patterns,
681,,Ensemble-RotationForest,WordsSynonyms,
682,,Ensemble-RotationForest,synthetic_control,0.9567
683,,Ensemble-RotationForest,uWaveGestureLibrary_X,
684,,Ensemble-RotationForest,uWaveGestureLibrary_Y,
685,,Ensemble-RotationForest,uWaveGestureLibrary_Z,
686,,Ensemble-RotationForest,wafer,
687,,Ensemble-RotationForest,yoga,
688,,Ensemble-SVM(L),50words,
689,,Ensemble-SVM(L),Adiac,0.23530000000000006
690,,Ensemble-SVM(L),Beef,0.9
691,,Ensemble-SVM(L),CBF,
692,,Ensemble-SVM(L),ChlorineConcentration,0.562
693,,Ensemble-SVM(L),CinC_ECG_torso,
694,,Ensemble-SVM(L),Coffee,1.0
695,,Ensemble-SVM(L),Cricket_X,
696,,Ensemble-SVM(L),Cricket_Y,
697,,Ensemble-SVM(L),Cricket_Z,
698,,Ensemble-SVM(L),DiatomSizeReduction,0.915
699,,Ensemble-SVM(L),ECG200,
700,,Ensemble-SVM(L),ECGFiveDays,0.9976999999999999
701,,Ensemble-SVM(L),FaceAll,
702,,Ensemble-SVM(L),FaceFour,0.9773000000000001
703,,Ensemble-SVM(L),FacesUCR,
704,,Ensemble-SVM(L),Fish,
705,,Ensemble-SVM(L),Gun_Point,
706,,Ensemble-SVM(L),Haptics,
707,,Ensemble-SVM(L),InlineSkate,
708,,Ensemble-SVM(L),ItalyPowerDemand,0.9261
709,,Ensemble-SVM(L),Lightning2,
710,,Ensemble-SVM(L),Lightning7,0.726
711,,Ensemble-SVM(L),MALLAT,
712,,Ensemble-SVM(L),MedicalImages,0.5196999999999999
713,,Ensemble-SVM(L),MoteStrain,0.873
714,,Ensemble-SVM(L),OSULeaf,
715,,Ensemble-SVM(L),OliveOil,
716,,Ensemble-SVM(L),SonyAIBORobotSurface,0.9484
717,,Ensemble-SVM(L),SonyAIBORobotSurfaceII,
718,,Ensemble-SVM(L),StarLightCurves,
719,,Ensemble-SVM(L),SwedishLeaf,
720,,Ensemble-SVM(L),Symbols,0.8864
721,,Ensemble-SVM(L),Trace,1.0
722,,Ensemble-SVM(L),TwoLeadECG,0.9921
723,,Ensemble-SVM(L),Two_Patterns,
724,,Ensemble-SVM(L),WordsSynonyms,
725,,Ensemble-SVM(L),synthetic_control,0.9167000000000001
726,,Ensemble-SVM(L),uWaveGestureLibrary_X,
727,,Ensemble-SVM(L),uWaveGestureLibrary_Y,
728,,Ensemble-SVM(L),uWaveGestureLibrary_Z,
729,,Ensemble-SVM(L),wafer,
730,,Ensemble-SVM(L),yoga,
731,,Ensemble-1NN-DTW,50words,
732,,Ensemble-1NN-DTW,Adiac,0.491
733,,Ensemble-1NN-DTW,Beef,0.4333
734,,Ensemble-1NN-DTW,CBF,
735,,Ensemble-1NN-DTW,ChlorineConcentration,0.6335999999999999
736,,Ensemble-1NN-DTW,CinC_ECG_torso,
737,,Ensemble-1NN-DTW,Coffee,0.46429999999999993
738,,Ensemble-1NN-DTW,Cricket_X,
739,,Ensemble-1NN-DTW,Cricket_Y,
740,,Ensemble-1NN-DTW,Cricket_Z,
741,,Ensemble-1NN-DTW,DiatomSizeReduction,0.9248000000000001
742,,Ensemble-1NN-DTW,ECG200,
743,,Ensemble-1NN-DTW,ECGFiveDays,0.8281000000000001
744,,Ensemble-1NN-DTW,FaceAll,
745,,Ensemble-1NN-DTW,FaceFour,0.8295
746,,Ensemble-1NN-DTW,FacesUCR,
747,,Ensemble-1NN-DTW,Fish,
748,,Ensemble-1NN-DTW,Gun_Point,
749,,Ensemble-1NN-DTW,Haptics,
750,,Ensemble-1NN-DTW,InlineSkate,
751,,Ensemble-1NN-DTW,ItalyPowerDemand,0.9611
752,,Ensemble-1NN-DTW,Lightning2,
753,,Ensemble-1NN-DTW,Lightning7,0.726
754,,Ensemble-1NN-DTW,MALLAT,
755,,Ensemble-1NN-DTW,MedicalImages,0.6895
756,,Ensemble-1NN-DTW,MoteStrain,0.8155
757,,Ensemble-1NN-DTW,OSULeaf,
758,,Ensemble-1NN-DTW,OliveOil,
759,,Ensemble-1NN-DTW,SonyAIBORobotSurface,0.6988
760,,Ensemble-1NN-DTW,SonyAIBORobotSurfaceII,
761,,Ensemble-1NN-DTW,StarLightCurves,
762,,Ensemble-1NN-DTW,SwedishLeaf,
763,,Ensemble-1NN-DTW,Symbols,0.9337000000000001
764,,Ensemble-1NN-DTW,Trace,0.99
765,,Ensemble-1NN-DTW,TwoLeadECG,0.7946
766,,Ensemble-1NN-DTW,Two_Patterns,
767,,Ensemble-1NN-DTW,WordsSynonyms,
768,,Ensemble-1NN-DTW,synthetic_control,0.9737
769,,Ensemble-1NN-DTW,uWaveGestureLibrary_X,
770,,Ensemble-1NN-DTW,uWaveGestureLibrary_Y,
771,,Ensemble-1NN-DTW,uWaveGestureLibrary_Z,
772,,Ensemble-1NN-DTW,wafer,
773,,Ensemble-1NN-DTW,yoga,
774,,Shotgun,50words,0.699
775,,Shotgun,Adiac,0.627
776,,Shotgun,Beef,0.8
777,,Shotgun,CBF,0.969
778,,Shotgun,ChlorineConcentration,0.696
779,,Shotgun,CinC_ECG_torso,0.949
780,,Shotgun,Coffee,1.0
781,,Shotgun,Cricket_X,0.7
782,,Shotgun,Cricket_Y,0.662
783,,Shotgun,Cricket_Z,0.728
784,,Shotgun,DiatomSizeReduction,0.935
785,,Shotgun,ECG200,0.88
786,,Shotgun,ECGFiveDays,0.943
787,,Shotgun,FaceAll,0.754
788,,Shotgun,FaceFour,0.909
789,,Shotgun,FacesUCR,0.908
790,,Shotgun,Fish,0.931
791,,Shotgun,Gun_Point,0.947
792,,Shotgun,Haptics,0.403
793,,Shotgun,InlineSkate,0.29499999999999993
794,,Shotgun,ItalyPowerDemand,0.958
795,,Shotgun,Lightning2,0.852
796,,Shotgun,Lightning7,0.712
797,,Shotgun,MALLAT,0.914
798,,Shotgun,MedicalImages,0.684
799,,Shotgun,MoteStrain,
800,,Shotgun,OSULeaf,0.674
801,,Shotgun,OliveOil,0.9
802,,Shotgun,SonyAIBORobotSurface,0.729
803,,Shotgun,SonyAIBORobotSurfaceII,0.876
804,,Shotgun,StarLightCurves,0.916
805,,Shotgun,SwedishLeaf,0.842
806,,Shotgun,Symbols,0.915
807,,Shotgun,Trace,0.98
808,,Shotgun,TwoLeadECG,0.923
809,,Shotgun,Two_Patterns,0.956
810,,Shotgun,WordsSynonyms,0.633
811,,Shotgun,synthetic_control,0.937
812,,Shotgun,uWaveGestureLibrary_X,0.749
813,,Shotgun,uWaveGestureLibrary_Y,0.662
814,,Shotgun,uWaveGestureLibrary_Z,0.652
815,,Shotgun,wafer,0.999
816,,Shotgun,yoga,0.817
0,10.0,SVC,CBF,0.8944444444444445
2,,LDA,CBF,0.84
1,0.1,LinearSVC,CBF,0.7333333333333333
1,0.01,LinearSVC,Coffee,1.0
2,,LDA,Coffee,1.0
0,1.0,SVC,Coffee,0.8928571428571429
2,,LDA,DiatomSizeReduction,0.9575163398692811
0,10.0,SVC,DiatomSizeReduction,0.8725490196078431
1,0.01,LinearSVC,DiatomSizeReduction,0.8660130718954249
0,10.0,SVC,ECG200,0.89
1,0.1,LinearSVC,ECG200,0.84
2,,LDA,ECG200,0.61
0,10.0,SVC,ECGFiveDays,0.9802555168408827
2,,LDA,ECGFiveDays,0.9442508710801394
1,1.0,LinearSVC,ECGFiveDays,0.943089430894309
1,0.1,LinearSVC,FaceFour,0.8636363636363636
2,,LDA,FaceFour,0.8522727272727273
0,0.01,SVC,FaceFour,0.38636363636363635
0,100.0,SVC,Gun_Point,0.9533333333333334
1,1.0,LinearSVC,Gun_Point,0.84
2,,LDA,Gun_Point,0.8066666666666666
1,0.1,LinearSVC,ItalyPowerDemand,0.967930029154519
0,1.0,SVC,ItalyPowerDemand,0.956268221574344
2,,LDA,ItalyPowerDemand,0.9358600583090378
0,0.01,SVC,MoteStrain,0.8634185303514377
1,0.1,LinearSVC,MoteStrain,0.8610223642172524
2,,LDA,MoteStrain,0.7244408945686901
0,10.0,SVC,SonyAIBORobotSurface,0.762063227953411
1,0.1,LinearSVC,SonyAIBORobotSurface,0.7371048252911814
2,,LDA,SonyAIBORobotSurface,0.7038269550748752
0,1.0,SVC,SonyAIBORobotSurfaceII,0.8153200419727177
2,,LDA,SonyAIBORobotSurfaceII,0.8079748163693599
1,0.01,LinearSVC,SonyAIBORobotSurfaceII,0.7995802728226653
0,10.0,SVC,Symbols,0.878391959798995
2,,LDA,Symbols,0.8170854271356784
1,0.01,LinearSVC,Symbols,0.7748743718592965
1,10.0,LinearSVC,TwoLeadECG,0.9280070237050044
0,100.0,SVC,TwoLeadECG,0.9086918349429324
2,,LDA,TwoLeadECG,0.8893766461808604
